Name,Website,Featured,Stage,Industry,Tags,Region,Startup HQ
Lean,https://www.leantech.me,,Series B,Financial Services,Fintech Infrastructure,Riyadh,Saudi Arabia
Foodics,https://www.foodics.com/,,Series C,"Technology ,Food & Beverages ","SaaS,Financial Solution",Riyadh,Saudi Arabia
Salla,https://salla.com/,true,Private Equity,"Technology ",SaaS,Makkah,Saudi Arabia
Nana,https://nana.co/en,true,Series C,"Food & Beverages ","Last Mile Delivery,Marketplace,E-Commerce",Riyadh,Saudi Arabia
Mozn,https://www.mozn.sa,true,Pre-Series B,"Technology ",AI & Machine Learning,Riyadh,Saudi Arabia
Rewaa,https://rewaatech.com,true,Series A,"Technology ","SaaS,ERP",Riyadh,Saudi Arabia
Zid,https://zid.sa/,true,Series B,"Technology ,Retail","SaaS,E-Commerce",Riyadh,Saudi Arabia
Classera,https://classera.com,true,Series A,Education,SaaS,Makkah,Saudi Arabia
Gathern,https://gathern.co,true,Pre-Series A,"Travel & Tourism,Real Estate","Marketplace,Hospitality",Riyadh,Saudi Arabia
Sary,https://www.sary.com/en,true,Series C,"Food & Beverages ,Retail","B2B Financing,Marketplace",Riyadh,Saudi Arabia
Syarah,https://syarah.com,true,Series B,Transportation & Automotive,"Marketplace,E-Commerce,Fintech Infrastructure",Riyadh,Saudi Arabia
Goldenscent,https://www.goldenscent.com,true,Series A,"Personal Care & Beauty ",E-Commerce,Riyadh,Saudi Arabia
Mrsool,https://mrsool.co,true,Series A,"Food & Beverages ,Logistics ","Last Mile Delivery,Marketplace",Riyadh,Saudi Arabia
Grintafy,https://grintafy.com,true,Pre-Series A,Sports,"Marketplace,HR & Recruitment ",Makkah,Saudi Arabia
Hakbah,https://hakbah.sa,true,Series A,Financial Services,ROSCA,Riyadh,Saudi Arabia
Hala,https://hala.com/home,true,Series A,Financial Services,"Financial Solution,ePOS,Expense Mangement",Riyadh,Saudi Arabia
Rasan,https://www.rasan.co/,true,IPO,"Insurance ",Marketplace,Riyadh,Saudi Arabia
Nice One,https://niceonesa.com/ar,true,IPO,"Personal Care & Beauty ",E-Commerce,Riyadh,Saudi Arabia
Noon Academy,https://www.learnatnoon.com/ar-sa,true,Series B,Education,Marketplace,Riyadh,Saudi Arabia
Paytabs,https://site.paytabs.com/en/,true,Series B,Financial Services,"Payment Gateway,Financial Solution",Eastern,Saudi Arabia
OTO,https://tryoto.com,true,Series A,"Logistics ",SaaS,Riyadh,Saudi Arabia
Unifonic,https://www.unifonic.com/en/,true,Series B,"Technology ","SaaS,Fintech Infrastructure",Riyadh,Saudi Arabia
Penny Software,https://penny.co/,true,Pre-Series A,"Technology ",SaaS,Riyadh,Saudi Arabia
Lucidya,https://lucidya.com,true,Series A,"Technology ",SaaS,Riyadh,Saudi Arabia
