Name,Website,Stage,Industry,Tags,Region,Startup HQ,NumOfTags,Funding (USD),CompanySize,Funding_min,rate_percent,Allign with 2030,Funding_Avg,Opportunity_Level,Year of establishment
Lean,https://www.leantech.me,Series B,Financial Services,Fintech Infrastructure,Riyadh,Saudi Arabia,1,15M – 30M,Startup / Small,15000000.0,75.6,Yes,22.50M,High,2019
Foodics,https://www.foodics.com/,Series C,"Technology ,Food & Beverages","SaaS,Financial Solution",Riyadh,Saudi Arabia,2,25M – 50M,Startup / Small,25000000.0,75.6,Yes,37.50M,High,2014
Salla,https://salla.com/,Private Equity,Technology,SaaS,Makkah,Saudi Arabia,1,50M – 500M+,Large,50000000.0,13.68,Yes,275.00M,High,2016
Nana,https://nana.co/en,Series C,Food & Beverages,"Last Mile Delivery,Marketplace,E-Commerce",Riyadh,Saudi Arabia,3,25M – 50M,Startup / Small,25000000.0,75.6,Yes,37.50M,High,2016
Mozn,https://www.mozn.sa,Pre-Series B,Technology,AI & Machine Learning,Riyadh,Saudi Arabia,1,10M – 18M,Mid-level,10000000.0,75.6,Yes,14.00M,Medium,2017
Rewaa,https://rewaatech.com,Series A,Technology,"SaaS,ERP",Riyadh,Saudi Arabia,2,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2018
Zid,https://zid.sa/,Series B,"Technology ,Retail","SaaS,E-Commerce",Riyadh,Saudi Arabia,2,15M – 30M,Startup / Small,15000000.0,75.6,Yes,22.50M,High,2017
Classera,https://classera.com,Series A,Education,SaaS,Makkah,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,13.68,Yes,10.50M,Medium,2012
Gathern,https://gathern.co,Pre-Series A,"Travel & Tourism,Real Estate","Marketplace,Hospitality",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2016
Sary,https://www.sary.com/en,Series C,"Food & Beverages ,Retail","B2B Financing,Marketplace",Riyadh,Saudi Arabia,2,25M – 50M,Startup / Small,25000000.0,75.6,Yes,37.50M,High,2018
Syarah,https://syarah.com,Series B,Transportation & Automotive,"Marketplace,E-Commerce,Fintech Infrastructure",Riyadh,Saudi Arabia,3,15M – 30M,Startup / Small,15000000.0,75.6,Yes,22.50M,High,2015
Goldenscent,https://www.goldenscent.com,Series A,Personal Care & Beauty,E-Commerce,Riyadh,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2014
Mrsool,https://mrsool.co,Series A,"Food & Beverages ,Logistics","Last Mile Delivery,Marketplace",Riyadh,Saudi Arabia,2,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2015
Grintafy,https://grintafy.com,Pre-Series A,Sports,"Marketplace,HR & Recruitment ",Makkah,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,13.68,Yes,4.00M,Medium,2019
Hakbah,https://hakbah.sa,Series A,Financial Services,ROSCA,Riyadh,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2018
Hala,https://hala.com/home,Series A,Financial Services,"Financial Solution,ePOS,Expense Mangement",Riyadh,Saudi Arabia,3,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2017
Rasan,https://www.rasan.co/,IPO,Insurance,Marketplace,Riyadh,Saudi Arabia,1,500M – 2B+,Enterprise,500000000.0,75.6,Yes,1.25B,High,2016
